movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
Inside Llewyn Davis,"USA, UK, France",10 Jan 2014,Blueprint Productions,7.2,66,45%,2012,184960100,11000000,13248209,19695038,R,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0.0,104.0,32943247,299.48%
Peeples,USA,10 May 2013,"Anonymous Content, Fake Empire",5.4,37,50%,2012,171140100,11000000,9177065,130101,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,95.0,9307166,84.61%
Think Like a Man,USA,20 Apr 2012,"De Milo, Toma 78",6.2,57,82%,2012,161370100,12000000,91547205,21826559,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,0.0,122.0,113373764,944.78%
Katy Perry: Part of Me,USA,05 Jul 2012,Le Grisbi,7.6,68,61%,2012,174660100,12000000,25326071,7374368,PG,Factual,Based on Real Life Events,Live Action,Concert/Performance,0.0,95.0,32700439,272.50%
The Paperboy,USA,17 Oct 2012,Exclusive Media,6.4,51,41%,2012,177560100,12500000,677200,2844953,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,107.0,3522153,28.18%
Admission,USA,22 Mar 2013,"Sidney Kimmel Entertainment, Electric City Entertainment",7.3,68,81%,2012,181990100,13000000,18007317,726349,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,117.0,18733666,144.11%
Seven Psychopaths,"UK, USA",12 Oct 2012,"Cine Mosaic, Doha Film Institute, The Mirabai Films",6.9,54,78%,2012,174080100,13500000,15024049,18011687,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,109.0,33035736,244.71%
Mama,"Canada, Spain",18 Jan 2013,"Gold Circle Films, Brownstown",7.1,66,28%,2012,162750100,15000000,71628180,76467386,PG-13,Fantasy,Based on Short Film,Live Action,Horror,0.0,109.0,148095566,987.30%
End of Watch,USA,21 Sep 2012,Ghost House Pictures,6.5,57,11%,2012,173660100,15000000,41003371,16583235,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,109.0,57586606,383.91%
Killing Them Softly,USA,30 Nov 2012,Trilogy Entertainment Group,5.9,40,20%,2012,174960100,15000000,14945541,24292902,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,97.0,39238443,261.59%
Snitch,"USA, United Arab Emirates, UK",22 Feb 2013,N/A,N/A,N/A,22%,2012,176710100,15000000,42930462,14977272,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,95.0,57907734,386.05%
The Place Beyond the Pines,USA,19 Apr 2013,"Gran Via, Deuce Three Prods.",7.2,45,84%,2012,181290100,15000000,21403519,25607930,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,140.0,47011449,313.41%
The Reluctant Fundamentalist,"USA, UK, Qatar",03 May 2013,"120dB Films, Triggerfish Animation Studios",5.8,N/A,7%,2012,181610100,15000000,528731,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,128.0,528731,3.52%
Trance,"UK, USA, France",27 Mar 2013,Weinstein Company,7.7,81,35%,2012,161240100,16000000,2322593,20271459,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,101.0,22594052,141.21%
Pitch Perfect,USA,05 Oct 2012,"Medusa, Perdido Productions, Gravier Productions",6.3,54,96%,2012,176830100,17000000,65001093,51043254,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Comedy,0.0,112.0,116044347,682.61%
Evil Dead,USA,05 Apr 2013,Color Force,6.3,54,50%,2012,145010100,17000000,54239856,43538500,R,Fantasy,Remake,Live Action,Horror,0.0,91.0,97778356,575.17%
Phantom,USA,01 Mar 2013,N/A,7.8,N/A,10%,2012,185040100,18000000,1034589,164921,R,Historical Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,97.0,1199510,6.66%
Chasing Mavericks,USA,26 Oct 2012,"Chernin Entertainment, Face Productions",6.0,36,9%,2012,168840100,20000000,6002756,2298065,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,115.0,8300821,41.50%
Silver Linings Playbook,USA,25 Dec 2012,De Line Pictures,6.4,45,47%,2012,170290100,21000000,132092958,104319495,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,122.0,236412453,1125.77%
Diary of a Wimpy Kid: Dog Days,"USA, Canada",03 Aug 2012,"Lionsgate Films, Di Bonaventura Pictures",6.3,54,51%,2012,165990100,22000000,49008662,28221033,PG,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,1.0,94.0,77229695,351.04%
Dangerous Liaisons,"USA, UK",24 Feb 1989,"Original Film, Frequency Films",6.5,39,65%,2012,183340100,24200000,17000,10430579,Not Rated,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,110.0,10447579,43.17%
Parental Guidance,USA,25 Dec 2012,Legendary Pictures,7.5,62,5%,2012,168850100,25000000,77267296,43565087,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,104.0,120832383,483.33%
Cirque du Soleil: Worlds Away,USA,21 Dec 2012,"ImageMovers, Parkes/MacDonald",7.3,76,76%,2012,173670100,25000000,12512862,15500000,PG,Fantasy,Original Screenplay,Live Action,Drama,0.0,91.0,28012862,112.05%
Pain & Gain,USA,26 Apr 2013,"Benderspink, Carousel",5.9,44,28%,2012,148310100,26000000,49875291,31400000,R,Contemporary Fiction,Based on Real Life Events,Live Action,Action,0.0,129.0,81275291,312.60%
Side Effects,USA,08 Feb 2013,"Leverage Communications, New Regency Pictures, Closest to the Hole, Emmett/Furla Films, Allen Hughes",6.2,49,51%,2012,183810100,30000000,32172757,34569381,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,105.0,66742138,222.47%
The Last Stand,USA,18 Jan 2013,"Block/Hanson, Emmett/Furla Films, James Patterson Entertainment",5.2,30,8%,2012,164540100,30000000,12050299,36280458,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,107.0,48330757,161.10%
Warm Bodies,"USA, Canada",01 Feb 2013,"Millennium Films, Saturn Films, Nu Image",5.5,43,28%,2012,169340100,30000000,66380662,48740946,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0.0,97.0,115121608,383.74%
Dead Man Down,USA,08 Mar 2013,Phoenix Pictures,5.7,41,51%,2012,177620100,30000000,10895295,8704679,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,118.0,19599974,65.33%
42,USA,12 Apr 2013,"Joanne Sellar, Annapurna Pictures, Ghoulardi Film Company",7.2,86,14%,2012,175670100,31000000,95020213,2450488,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,88.0,97470701,314.42%
Flight,"USA, United Arab Emirates",02 Nov 2012,"Deepak Nayar, Emjag, Film 360, Gaumont",5.7,32,37%,2012,176370100,31000000,93772375,66786063,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,138.0,160558438,517.93%
The Incredible Burt Wonderstone,USA,15 Mar 2013,"GRF Productions, Rainmaker Entertainment",5.9,35,67%,2012,182960100,32000000,22537881,4854728,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,100.0,27392609,85.60%
Broken City,USA,18 Jan 2013,Smoke House,7.7,86,62%,2012,169370100,35000000,19701164,14778881,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,108.0,34480045,98.51%
Alex Cross,"USA, France",19 Oct 2012,Moritz Borman,6.5,59,95%,2012,173010100,35000000,25888412,9538347,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,102.0,35426759,101.22%
Stolen,USA,06 Sep 2012,Threshold Digital Research Labs,1.5,N/A,53%,2012,177140100,35000000,289773,17677973,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,96.0,17967746,51.34%
What to Expect When You're Expecting,USA,18 May 2012,Working Title Films,6.6,63,65%,2012,161730100,37500000,41152203,47320813,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,0.0,109.0,88473016,235.93%
The Master,USA,21 Sep 2012,"Nick Wechsler, Fickle Fish, Chockstone Pictures",5.9,35,82%,2012,174670100,37500000,16247159,34400257,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,136.0,50647416,135.06%
Paranoia,"USA, India, France",16 Aug 2013,"Practical Pictures, Zide Pictures",6.7,49,11%,2012,176590100,40000000,7388654,8952113,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,146.0,16340767,40.85%
Argo,"USA, UK",12 Oct 2012,"Mark Boal, Annapurna Pictures, First Light Production",7.4,95,28%,2012,166690100,44500000,136025503,91115254,R,Historical Fiction,Based on Factual Book/Article,Live Action,Thriller/Suspense,0.0,120.0,227140757,510.43%
Savages,USA,06 Jul 2012,Malpaso Company,6.8,58,78%,2012,163150100,45000000,47323100,35190390,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,130.0,82513490,183.36%
Foodfight!,USA,12 Feb 2013,"Tom Cruise, Mutual Film Company, Paramount Pictures",7.0,50,75%,2012,107130100,45000000,0,73706,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,91.0,73706,0.16%
Anna Karenina,UK,07 Sep 2012,Marc Platt Productions,6.7,55,26%,2012,167170100,49000000,12816367,58188260,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,129.0,71004627,144.91%
The Host,"USA, Switzerland, UK",29 Mar 2013,"Sidney Kimmel Entertainment, Hopscotch Features, Lions Gate Entertainment, Lakeshore Entertainment",5.1,30,87%,2012,143190100,50000000,26623701,37853350,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,88.0,64477051,128.95%
American Reunion,USA,06 Apr 2012,N/A,7.3,N/A,78%,2012,161360100,50000000,56758835,180040376,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,112.0,236799211,473.60%
Beautiful Creatures,USA,14 Feb 2013,"Constantin Film, Impact Pictures, Davis Films",5.4,39,48%,2012,173220100,50000000,19452138,40830738,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,123.0,60282876,120.57%
Zero Dark Thirty,"USA, United Arab Emirates",11 Jan 2013,"Boies/Shiller Films, Mark Canton, Envision Entertainment, Emmett/Furla Films",6.7,49,84%,2012,162120100,52500000,95720716,38891719,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,137.0,134612435,256.40%
Trouble with the Curve,USA,21 Sep 2012,Happy Madison Productions,5.4,19,92%,2012,172630100,60000000,35763137,12055776,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,111.0,47818913,79.70%
Jack Reacher,USA,21 Dec 2012,"Constantin Film, Impact Pictures",5.5,39,80%,2012,177040100,60000000,80070736,137300000,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,130.0,217370736,362.28%
2 Guns,USA,02 Aug 2013,"Samuel Goldwyn Films, Red Hour Productions",7.3,54,79%,2012,179790100,61000000,75612460,56880555,R,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Action,0.0,109.0,132493015,217.20%
"I, Frankenstein","USA, Australia",24 Jan 2014,Giant Pictures,5.3,28,56%,2012,169110100,65000000,19075290,55500000,PG-13,Fantasy,Based on Comic/Graphic Novel,Live Action,Action,0.0,92.0,74575290,114.73%
Les Miserables,UK,27 Dec 1978,Blue Sky Studios,6.6,49,64%,2012,167200100,65000000,148809770,293359282,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Musical,0.0,158.0,442169052,680.26%
Resident Evil: Retribution,"Germany, Canada, USA, France, UK",14 Sep 2012,"Nu Image, Millennium Films",6.6,51,87%,2012,158870100,65000000,42345531,198302098,R,Science Fiction,Based on Game,Live Action,Action,1.0,95.0,240647629,370.23%
Escape Plan,USA,18 Oct 2013,"K/O Paper Products, Chartoff Productions, Odd Lot Entertainment, Taleswapper, Digital Domain",6.6,51,29%,2012,143400100,70000000,25135965,78600000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,115.0,103735965,148.19%
Walking with Dinosaurs,UK,16 Apr 2000,"Esperanto Filmoj, Heyday Films",7.7,96,50%,2012,165950100,80000000,36076121,87292721,PG,Kids Fiction,Based on TV,Animation/Live Action,Adventure,0.0,87.0,123368842,154.21%
Grown Ups 2,USA,12 Jul 2013,"Chernin Entertainment, Radical Studios, Monolith Pictures",7.0,54,63%,2012,172360100,80000000,133668525,113355283,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,100.0,247023808,308.78%
Pompeii,"Canada, Germany, USA, UK",21 Feb 2014,"QED International, Kinberg Genre, Alphacore",6.6,61,14%,2012,115430100,80000000,23169033,85300000,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,102.0,108469033,135.59%
The Secret Life of Walter Mitty,"USA, UK",25 Dec 2013,"TriStar Pictures, Carolco Pictures Inc.",7.5,57,65%,2012,142640100,91000000,58236838,129624345,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,114.0,187861183,206.44%
A Good Day to Die Hard,"USA, UK, Hungary",14 Feb 2013,"Overbrook Entertainment, Blinding Edge Pictures",4.8,33,18%,2012,142430100,92000000,67349198,236900000,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,98.0,304249198,330.71%
Ice Age: Continental Drift,USA,13 Jul 2012,Temple Hill,5.5,52,90%,2012,153070100,95000000,161321843,718443294,PG,Fantasy,Original Screenplay,Digital Animation,Adventure,1.0,87.0,879765137,926.07%
The Expendables 2,"USA, Germany, Bulgaria, China",17 Aug 2012,Di Bonaventura Pictures,5.8,41,91%,2012,160040100,100000000,85028192,226951064,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,103.0,311979256,311.98%
Ender's Game,USA,01 Nov 2013,"PDI, DreamWorks",6.8,60,69%,2012,106580100,110000000,61737191,66246092,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,114.0,127983283,116.35%
Gravity,"UK, USA, Mexico",04 Oct 2013,DreamWorks Animation,7.3,58,51%,2012,144130100,110000000,274092705,419605968,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,91.0,693698673,630.64%
Oblivion,USA,19 Apr 2013,Thunder Road Film,5.7,37,36%,2012,163130100,120000000,89107235,198809398,PG-13,Science Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0.0,125.0,287916633,239.93%
Elysium,"USA, Mexico, Canada",09 Aug 2013,Walt Disney Animation,7.7,72,44%,2012,140150100,120000000,93050117,193141974,R,Science Fiction,Original Screenplay,Live Action,Action,0.0,109.0,286192091,238.49%
Total Recall,"USA, Mexico",01 Jun 1990,"Pixar Animation Studios, Walt Disney Studios",7.1,69,50%,2012,143450100,125000000,58877969,152978119,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,117.0,211856088,169.48%
After Earth,USA,31 May 2013,"Bazmark Films, Red Wagon Entertainment",7.2,55,12%,2012,167400100,130000000,60522097,190977568,PG-13,Science Fiction,Original Screenplay,Live Action,Action,0.0,99.0,251499665,193.46%
G.I. Joe: Retaliation,USA,28 Mar 2013,Eon Productions Ltd.,7.7,81,13%,2012,145700100,140000000,122523060,253217645,PG-13,Contemporary Fiction,Based on Toy,Animation/Live Action,Action,1.0,110.0,375740705,268.39%
Madagascar 3: Europe's Most Wanted,USA,08 Jun 2012,Pixar Animation Studios,7.3,65,25%,2012,113780100,145000000,216391482,530529789,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,85.0,746921271,515.12%
Rise of the Guardians,USA,21 Nov 2012,Marvel Studios,7.2,62,61%,2012,128880100,145000000,103412758,203488144,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,97.0,306900902,211.66%
Wrath of the Titans,"USA, Spain",30 Mar 2012,"Syncopy, Warner Bros.",7.0,55,44%,2012,141880100,150000000,83670083,221600000,PG-13,Fantasy,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Adventure,1.0,99.0,305270083,203.51%
Wreck-It Ralph,USA,02 Nov 2012,WingNut Films,7.8,58,85%,2012,158880100,165000000,189412677,307098844,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,101.0,496511521,300.92%
Brave,"USA, UK",22 Jun 2012,Syncopy,8.4,78,96%,2012,124130100,185000000,237282182,317324350,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,93.0,554606532,299.79%
The Great Gatsby,"Australia, USA",10 May 2013,Ten Furlongs,6.4,37,71%,2012,145420100,190000000,144840419,206200000,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,141.0,351040419,184.76%
Star Trek Into Darkness,USA,16 May 2013,"Playtone Productions, Exclusive Media",6.4,51,50%,2012,134620100,190000000,228778661,238602923,PG-13,Science Fiction,Based on TV,Live Action,Adventure,1.0,132.0,467381584,245.99%
Skyfall,"UK, USA, Turkey",09 Nov 2012,"Syco Entertainment, Modest! Management",4.2,49,91%,2012,153090100,200000000,304360277,806166704,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1.0,143.0,1110526981,555.26%
Monsters University,USA,21 Jun 2013,Lionsgate,6.2,N/A,79%,2012,139860100,200000000,268488329,475100000,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1.0,102.0,743588329,371.79%
Iron Man 3,USA,03 May 2013,"Blumhouse, Room 101 Inc., Solana Films",4.6,30,66%,2012,146800100,200000000,408992272,806400000,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,1.0,130.0,1215392272,607.70%
Man of Steel,"USA, UK",14 Jun 2013,"Darko Entertainment, MXN Entertainment, Aggregate Films",6.6,57,28%,2012,125160100,225000000,291045518,376954000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,142.0,667999518,296.89%
The Hobbit: An Unexpected Journey,"New Zealand, USA",14 Dec 2012,British Film Institute,5.5,46,73%,2012,126540100,250000000,303003568,714000000,PG-13,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1.0,169.0,1017003568,406.80%
The Dark Knight Rises,"UK, USA",20 Jul 2012,"Baby Cow Productions, Magnolia Mae",7.6,77,3%,2012,140240100,275000000,448139099,636300000,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,164.0,1084439099,394.34%
50 to 1,USA,21 Mar 2014,N/A,8.2,N/A,47%,2013,198280100,10000000,1069454,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,110.0,1069454,10.69%
Parkland,USA,02 Oct 2013,"Blue Lake Media Fund, Bona Fide Productions, FilmNation Entertainment, Paramount Vantage",7.7,87,61%,2013,195180100,10000000,641439,974914,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,94.0,1616353,16.16%
"Cinco de Mayo, La Batalla",Mexico,03 May 2013,"Roth Films, T.D. Jakes Ministries",5.8,47,86%,2013,187290100,10000000,173472,0,R,Dramatization,Based on Real Life Events,Live Action,Action,0.0,125.0,173472,1.73%
Paranormal Activity: The Ghost Dimension,USA,23 Oct 2015,Platinum Dunes,6.4,47,95%,2013,183320100,10000000,18297124,59662250,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,88.0,77959374,779.59%
Bad Words,USA,28 Mar 2014,"Troika Pictures, WWE Studios",6.7,51,29%,2013,192610100,10000000,7779614,63531,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,89.0,7843145,78.43%
The Last Days on Mars,"UK, Ireland",19 Sep 2013,Panay Films,5.8,53,43%,2013,197330100,10600000,24084,237280,R,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,98.0,261364,2.47%
Philomena,"UK, USA, France",27 Nov 2013,Will Packer Productions,5.6,26,6%,2013,198260100,12000000,37709979,61253413,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0.0,97.0,98963392,824.69%
Nebraska,USA,24 Jan 2014,"Metro Goldwyn Mayer, Paramount",5.1,29,37%,2013,191160100,12000000,17654912,7106448,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,114.0,24761360,206.34%
About Time,UK,08 Nov 2013,"Vinod Chopra Productions, Reliance Entertainment",5.7,32,43%,2013,179780100,12000000,15323921,73985257,R,Science Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,123.0,89309178,744.24%
Project Almanac,USA,30 Jan 2015,Triggerfish Animation,5.7,40,53%,2013,191170100,12000000,22348241,10561196,PG-13,Science Fiction,Original Screenplay,Live Action,Adventure,0.0,106.0,32909437,274.25%
The Call,USA,15 Mar 2013,"Worldview Entertainment, Kingsgate Films",6.6,77,94%,2013,185760100,12800000,51872378,17949098,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,96.0,69821476,545.48%
Earth to Echo,USA,02 Jul 2014,Embassy Pictures,7.7,77,49%,2013,190390100,13000000,38934842,3239703,PG,Kids Fiction,Original Screenplay,Animation/Live Action,Adventure,0.0,89.0,42174545,324.42%
No Good Deed,USA,12 Sep 2014,"Blackmaled, Sean Daniel Company",6.7,59,72%,2013,182000100,13200000,52543632,1779578,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,84.0,54323210,411.54%
Under the Skin,"UK, Switzerland",14 Mar 2014,"Maven Pictures, Wonderful Films",4.6,48,65%,2013,151720100,13300000,2614251,4615682,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,108.0,7229933,54.36%
Hot Tub Time Machine 2,USA,20 Feb 2015,Perdido Productions,7.3,78,33%,2013,201330100,14000000,12314651,511993,R,Science Fiction,Original Screenplay,Live Action,Comedy,1.0,93.0,12826644,91.62%
Broken Horses,USA,10 Apr 2015,Blackened,7.2,61,36%,2013,189510100,15000000,0,3471,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,101.0,3471,0.02%
Jackass Presents: Bad Grandpa,USA,25 Oct 2013,Archer Street Productions,7.1,59,52%,2013,194760100,15000000,102003019,58900000,R,Factual,Based on Real Life Events,Live Action,Comedy,0.0,92.0,160903019,1072.69%
Khumba,South Africa,25 Oct 2013,The Five Star Institute,5.9,44,27%,2013,198730100,15000000,0,20898221,Not Rated,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,85.0,20898221,139.32%
The Immigrant,USA,23 May 2014,"Good Universe, Point Grey",6.3,68,46%,2013,199050100,16000000,2013456,5571555,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,120.0,7585011,47.41%
Zulu,UK,17 Jun 1964,After Dark Films,4.4,22,61%,2013,242880100,16000000,0,1844228,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,0.0,1844228,11.53%
The Best Man Holiday,USA,15 Nov 2013,Sunswept Entertainment,7.6,53,68%,2013,184400100,17000000,70525195,2310515,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1.0,122.0,72835710,428.45%
Black Nativity,USA,27 Nov 2013,Grindstone Entertainment Group,6.4,37,32%,2013,188570100,17500000,7018188,266947,PG,Fantasy,Based on Play,Live Action,Musical,0.0,95.0,7285135,41.63%
Blue Jasmine,USA,23 Aug 2013,Working Title Films,7.0,81,28%,2013,187530100,18000000,33404871,69508090,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,98.0,102912961,571.74%
Metallica Through the Never,USA,04 Oct 2013,"Safran Company, Evergreen Media Group",7.5,68,9%,2013,186690100,18000000,3419967,5662939,R,Factual,Based on Musical Group,Live Action,Concert/Performance,0.0,93.0,9082906,50.46%
The Railway Man,"Switzerland, UK, Australia",23 May 2014,"River Road, New Regency Pictures, Plan B Entertainment",8.1,96,7%,2013,199740100,18000000,4438438,19471772,R,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,116.0,23910210,132.83%
Jobs,"USA, Switzerland",16 Aug 2013,Quick Draw,5.6,41,93%,2013,186170100,18000000,16131410,27271105,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,127.0,43402515,241.13%
Neighbors,USA,09 May 2014,"Spring Creek Productions, 21 Laps Entertainment",6.6,44,13%,2013,195940100,18000000,150086800,120857628,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,91.0,270944428,1505.25%
Getaway,"USA, Bulgaria",30 Aug 2013,Contrafilm,5.0,29,92%,2013,183700100,18000000,10501938,1312051,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,89.0,11813989,65.63%
The Book Thief,"USA, Germany",27 Nov 2013,Andre Rouleau,6.4,44,83%,2013,186070100,19000000,21488481,54598230,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,127.0,76086711,400.46%
The Frozen Ground,USA,01 Feb 2013,"Scott Free Productions, Millennium Films",6.3,41,76%,2013,190400100,19200000,0,5617460,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,105.0,5617460,29.26%
The World's End,"UK, USA, Japan",23 Aug 2013,"Endgame Entertainment, Millennium Films",6.5,40,19%,2013,150360100,20000000,26004851,21503654,R,Science Fiction,Original Screenplay,Live Action,Comedy,0.0,109.0,47508505,237.54%
The Conjuring,USA,19 Jul 2013,Lightworkers Media,5.7,37,79%,2013,179730100,20000000,137400141,180600000,R,Fantasy,Original Screenplay,Live Action,Horror,0.0,111.0,318000141,1590.00%
12 Years a Slave,"USA, UK",08 Nov 2013,Appian Way,6.8,63,62%,2013,189660100,20000000,56671993,124353350,R,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0.0,133.0,181025343,905.13%
Machete Kills,"USA, Russia",11 Oct 2013,Annapurna Pictures,8.0,90,48%,2013,183280100,20000000,8008161,10264848,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,107.0,18273009,91.37%
Battle of the Year,USA,20 Sep 2013,Yash Raj Films Pvt. Ltd.,5.4,61,75%,2013,174970100,20000000,8888355,7835022,PG-13,Contemporary Fiction,Based on Movie,Live Action,Drama,0.0,109.0,16723377,83.62%
Delivery Man,"USA, India, Canada",22 Nov 2013,"Roth Films, Mayhem Pictures",7.0,56,31%,2013,183860100,22000000,30659817,39877053,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0.0,105.0,70536870,320.62%
Before I Go to Sleep,"UK, USA, France, Sweden",31 Oct 2014,"Scott Free Productions, Chockstone Pictures, Nick Wechsler",5.3,48,94%,2013,198630100,22000000,3242457,16321122,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,92.0,19563579,88.93%
Homefront,USA,27 Nov 2013,Anonymous Content,6.2,49,25%,2013,193470100,22000000,20158492,31536870,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0.0,100.0,51695362,234.98%
Son of God,USA,28 Feb 2014,"M6, Caneo Films, France 3 Cinéma, Le Grisbi, France 4, Chi-Fou-Mi Productions, Worldview Entertainment, Canal+, Wild Bunch, W9, LGM Productions, Treasure Company, Mars Films, Ciné+, France Télévision, Les Productions du Trésor",6.5,45,92%,2013,198790100,22000000,59700064,11249729,PG-13,Dramatization,Based on Religious Text,Live Action,Drama,0.0,138.0,70949793,322.50%
